"",Alphabet,,Apple,
Year,Earned per share,Price range,Earned per share,Price range
2019,$49.16 ,1054.68-1339.39,$11.89 ,157.92-293.65
2018,$43.70 ,1073.21-1044.96,$11.91 ,172.26-157.74
2017,$18.00 ,808.01-1053.4,$9.21 ,116.15-169.23
2016,$27.85 ,759.44-792.45,$8.31 ,105.35-115.82
2015,$22.84 ,529.55-778.01,$9.22 ,109.33-105.26
2014,$20.57 ,1113.12-530.66,$6.45 ,79.0186-110.38
2013,$18.79 ,723.25-1120.71,$5.68 ,78.4329-80.1457
2012,$16.16 ,665.41-707.38,$6.31 ,58.7471-76.0247
2011,$14.88 ,604.35-645.9,$3.95 ,47.0814-57.8571
2010,$13.16 ,626.75-593.97,$2.16 ,30.5729-46.08
2009,$10.21 ,321.32-619.98,$1.30 ,12.9643-30.1046
